run,f1_indist,recall_ood,specificity_ood,secs
1,0.8833333333333333,0.8170731707317073,0.8827897109520021,57.349729776382446
2,0.8816326530612245,0.8048780487804879,0.8822593476531424,58.93785047531128
3,0.8860759493670886,0.8170731707317073,0.8748342614691064,51.44148874282837
4,0.8571428571428571,0.7804878048780488,0.8758949880668258,29.838799238204956
5,0.8870292887029289,0.8536585365853658,0.8711217183770883,29.50979471206665
6,0.8823529411764706,0.8414634146341463,0.8651551312649165,58.421650886535645
7,0.864406779661017,0.8292682926829268,0.883187483426147,60.16547632217407
8,0.8776371308016878,0.8048780487804879,0.87735348713869,49.94227576255798
9,0.8907563025210085,0.8414634146341463,0.8732431715725272,46.04731035232544
10,0.8813559322033898,0.7804878048780488,0.8810660302307081,41.250630617141724
11,0.8842975206611571,0.7926829268292683,0.8776186687881199,37.91793346405029
12,0.8898305084745762,0.8292682926829268,0.8658180853884911,35.410354137420654
13,0.8632478632478633,0.8048780487804879,0.8693980376557942,37.1148784160614
14,0.8916666666666667,0.8048780487804879,0.8586581808538849,37.67534875869751
15,0.8870292887029289,0.8414634146341463,0.8690002651816494,35.94684052467346
16,0.8717948717948718,0.8048780487804879,0.8955184301246354,30.982532739639282
17,0.8776371308016878,0.7804878048780488,0.8817289843542827,30.956830739974976
18,0.8813559322033898,0.8536585365853658,0.8827897109520021,31.012514114379883
19,0.8739495798319328,0.8170731707317073,0.8808008485812782,30.665289402008057
20,0.8936170212765957,0.8048780487804879,0.8770883054892602,30.77507734298706
